YR--MODAHRMN,TEMP
201508162151,79
201508162251,78
201508162351,78
201508170000,80
201508170051,79
201508170151,****
201508170251,77
201508170300,77
201508170351,76
201508170451,75
201508170459,74
201508170551,74
201508170600,75
201508170651,76
201508170751,79
201508170851,79
201508170900,80
201508170951,83
201508171051,85
201508171151,85
201508171200,86
201508171251,86
201508171351,88
201508171451,88
201508171500,87
201508171551,84
201508171651,84
201508171751,84
201508171800,83
201508171851,81
201508171951,80
201508172051,80
201508172100,80
201508172151,79
201508172251,78
201508172351,78
201508180000,78
201508180051,78
201508180151,****
201508180251,77
201508180300,77
201508180351,78
201508180451,76
201508180459,76
201508180551,76
201508180600,76
201508180651,76
201508180751,78
201508180851,78
201508180900,79
201508180951,81
201508181051,82
201508181151,82
201508181200,83
201508181251,85
201508181351,86
201508181451,86
201508181500,85
201508181551,85
201508181651,83
201508181751,83
201508181800,82
201508181851,81
201508181951,79
201508182051,79
201508182100,78
201508182151,77
201508182251,77
201508182351,77
201508190000,77
201508190051,77
201508190151,****
201508190251,77
201508190300,77
201508190351,77
201508190451,77
201508190459,77
201508190551,77
201508190600,77
201508190639,77
201508190651,77
201508190751,77
201508190851,77
201508190900,79
201508190949,79
201508190951,79
201508191045,81
201508191051,81
201508191138,82
201508191151,83
201508191200,83
201508191251,83
201508191310,84
201508191330,86
201508191351,86
201508191451,86
201508191500,85
201508191551,85
201508191651,83
201508191751,83
201508191800,81
201508191851,80
201508191951,79
201508192051,79
201508192100,79
201508192151,79
201508192251,78
201508192351,78
201508200000,78
201508200051,78
201508200151,****
201508200251,78
201508200300,78
201508200351,78
201508200451,77
201508200459,77
201508200551,77
201508200600,77
201508200651,78
201508200751,79
201508200851,79
201508200900,79
201508200951,81
201508201051,81
201508201148,84
201508201151,85
201508201200,85
201508201249,85
201508201251,86
201508201351,86
201508201451,86
201508201500,84
201508201551,84
201508201651,84
201508201751,84
201508201800,82
201508201851,81
201508201951,80
201508202051,80
201508202100,80
201508202151,80
201508202251,79
201508202351,79
201508210000,79
201508210051,79
201508210151,****
201508210251,78
201508210300,78
201508210351,79
201508210451,78
201508210459,79
201508210551,78
201508210600,77
201508210642,77
201508210651,77
201508210724,75
201508210751,75
201508210804,75
201508210811,75
201508210813,73
201508210849,73
201508210851,75
201508210900,75
201508210921,76
201508210942,76
201508210951,75
201508211045,74
201508211051,73
201508211151,75
